Date,2330.TW,2317.TW,2454.TW,2412.TW,1301.TW,3008.TW,2891.TW,1303.TW,2308.TW,2882.TW,1216.TW,2886.TW,2881.TW,2884.TW,1326.TW,2002.TW,2892.TW,2207.TW,1101.TW,2885.TW,2382.TW,2327.TW,2880.TW,3045.TW,2303.TW,2912.TW,2474.TW,2357.TW,2887.TW,2883.TW,2801.TW,6505.TW,2890.TW,2395.TW,1402.TW,4904.TW,2888.TW,1102.TW,2301.TW,2633.TW,9910.TW,2823.TW,2105.TW,2408.TW,.TWII,5880.TW,5871.TW,4938.TW,3711.TW,5876.TW,6669.TW
2007-12-31,61.382105185200004,96.1000500175397,415.1693476015104,74.52830373657487,81.86548656993219,413.30244367552,12.49657759895493,82.668478381236,106.29825606528807,50.46055225043748,27.46922965696385,17.580532278330153,24.88257576855781,7.285301455904339,78.23549488170801,35.70184920431447,14.643449610153816,84.4,37.37593580100759,18.417372869151674,44.2660863890223,36.41696040817081,12.047511512026546,59.470795754103754,19.282300699999997,75.00002640000001,156.19837834710899,337.6734055665717,7.685982512466794,12.243405401589706,11.038003964872894,94.174778,8.045884222315287,52.61748912007328,31.847764655276826,48.41408309401599,17.990345361432766,38.56206310084686,54.115857719427375,19.75,17.150432087069685,7.437559797854788,21.305466830280036,496.4643394004057,8506.28,11.539329380751798,,,,,
2008-01-31,59.30303388054,80.63840830679692,309.15817214506774,78.10025632120978,65.51036192039581,278.73885736256005,13.879062322483566,61.3284758223588,77.09017669599722,56.432215238654955,24.43447421650201,18.505823450873844,27.647306409508676,7.26368335069394,62.21135737581601,36.93294745273911,15.896855526680548,88.0,34.71809147738038,21.07330607250452,36.047301619725,28.398840177950742,13.178733250245006,62.88865757905225,16.6028743,79.22538,77.685965950414,286.3636889096388,7.257396127013254,11.717321575740149,10.913632089212358,72.330113,8.178326760954219,46.63661078978078,36.82790130964994,46.2885867630592,17.66764858364922,37.26039008478451,44.93719633945384,21.75,14.481104135774789,8.423755572155974,17.808154350592556,480.18682007580225,7521.13,12.014919962604907,,,,,
2008-02-29,60.98609160336001,89.43965051137357,351.0695670929637,89.01132154255528,76.47368723492019,328.719617993088,15.315762133209407,71.32559413822919,85.51742582549753,59.716629882174544,28.59553064517649,19.695483529858592,29.936848971546116,7.804135980953905,72.108618776514,38.574411783971954,17.30311582327152,87.3,45.68169931234262,24.469417381709793,39.796220988176394,30.730803432158172,14.02714955390884,57.444891588843596,17.5598123,93.750033,96.2810109917365,300.92455444741705,8.400293154889358,12.339057006289625,12.281722721478294,84.466038,9.039203262107298,51.83427886253497,43.35648381454243,51.24807820195839,18.754061177337196,42.548436712537786,40.634698817591236,22.75,15.615568515075124,9.451042837053047,23.476212507327432,491.0384996255379,8412.76,13.066225459332834,,,,,
2008-03-31,62.47114253526,82.77925100520746,394.460187744903,91.7678011774215,82.58439314793381,304.20982191465606,15.912128092378621,72.57523392771299,85.99624679876459,57.850485198356594,28.188810843877473,21.017328062063864,29.807252222751544,8.020317033057891,74.2765903214288,39.395143949588366,19.473648020183674,89.0,48.92094708176327,24.81773649034623,40.3249147452657,35.61834285536004,15.83710433505837,64.13217858678149,17.8947406,91.549328,93.388448429753,308.5516744910152,8.686017411858385,13.391224657988742,14.271672732046932,87.6699222,9.535862782003301,51.122269537500145,42.85428516031993,52.0,18.55065487389536,44.175527982615705,33.79850831063176,22.625,16.649933096201895,9.779774761820107,24.802779309967516,491.0384996255379,8572.59,14.993618870000708,,,,,
2008-04-30,66.03526477182001,83.96860805988,389.5294353980918,90.15985472374953,78.18109035767401,398.88491657056005,17.21329018511145,68.9224406969142,87.62423810787261,63.822148186574054,27.28151282559508,23.616955642067573,31.3624132082864,7.933844612216297,69.752127966824,41.03660828082122,22.622448249506935,102.0,41.11352938110835,25.253135376141778,48.7359517898682,33.541937218052055,17.6470591162079,63.584040308262,17.7990468,94.190174,98.7603503305795,342.5270274124978,9.057458945918121,13.63035366973854,15.20446179950097,87.76700960000001,9.96630103257984,55.892732015233456,42.85428516031993,52.0,22.98491228892736,44.58230080013519,34.228758062818024,25.0,16.149434105334098,10.889245007908945,23.275217537230454,529.0193780496128,8919.92,16.019893283473202,,,,,
2008-05-31,64.94622742176,81.82776536146945,374.73717835765785,86.59940186204733,77.10273049067159,365.24401999232003,16.80667703113244,67.768927045083,83.1233209591622,57.999776773062045,26.874793024296064,20.97326657765702,31.276015375756696,7.4150100871667295,68.33823348101001,42.67807261205407,22.041601605262837,97.8,42.35939390780861,24.64357693602801,46.140546073248,31.689144495531085,15.83710433505837,61.829997816999594,18.086128199999997,101.23243000000001,86.776876859505,304.0447399197982,8.114568897920334,12.386882808639585,15.35992664407665,84.466038,9.138535166086498,56.24873667775087,39.58999390787369,52.8,21.439024382769414,45.965328379701425,34.41998017490081,24.0,16.51646669863715,10.272872648970706,20.903476890086072,477.4739001883684,8619.08,16.59560819834802,,,,,
2008-06-30,64.352207049,71.12355186941677,345.1526642767902,90.15985472374953,65.77995188714641,372.93336778163206,15.885020548780018,62.001358785926996,80.92074448213371,49.26621965279401,22.838881149867436,21.14951251528439,26.78332808421153,7.133974719431545,56.3672601677848,38.45130195912948,20.360203424556243,90.5,34.05363039647359,18.50445264631078,45.179284696722,29.996075283572267,15.695701617781063,61.9396254727035,15.4067018,88.908482,71.48761760330649,286.3636889096388,7.4002582554977705,11.717321575740149,13.432162571338289,77.8640948,8.708096915509959,55.53672735271604,33.103261290833075,48.25,16.47591057878864,37.01632639427283,29.20917762064499,22.25,13.847138747342257,9.22503963877569,16.50168704496218,370.31356463472895,7523.54,14.117530956060767,,,,,
2008-07-31,55.920405,71.12355186941677,318.72383488512,89.24102817879412,58.5010227848802,378.700378623616,12.117071988574518,50.75460068057279,77.06912090423282,46.71333138966447,25.623347481837577,18.285516028839627,23.62980719687695,5.815270301597231,50.805941856916405,37.19557356271017,15.835713774654852,80.2,32.96806743522278,15.674359888639724,43.31683125,28.8780107096372,14.14027172773069,60.62409360425669,13.6842134,83.45073359999999,70.33059257851309,278.73656886604067,6.3716509304092765,9.852115284091719,11.628770374260458,77.66992,8.045884222315287,49.416485860115934,32.894011851573694,50.3,14.116397458863355,36.69090814025724,26.054012771279083,19.375,13.413372955256836,9.163402402881868,18.551835739951386,284.85658818056066,7024.06,13.166349792354543,,,,,
2008-08-31,58.606972500000005,76.11885149904131,365.038392141864,90.38956135998839,55.6253964728738,421.56856,11.086985331827691,47.7266273445159,83.3206085314456,47.65386826328188,22.535404479051024,17.580532278330153,23.11142020169866,5.485813011381,51.371499651242,32.79973305075352,14.850113127634147,79.7,26.08923402634678,15.848519442957942,47.326732199999995,30.028019985684697,13.61538701965925,62.1588807841113,13.3,82.1303106,88.42976975206699,278.6945687176573,5.571623010896003,9.80428703067,11.69095631209073,73.88351139999999,7.317450259801146,53.4535361421829,24.92914518426809,46.0,14.950346857593335,30.268786161768354,29.979798984863724,19.125,13.380006355865651,7.364625863421253,19.508576674757194,290.28242795542843,7046.11,13.442946623063664,,,,,
2008-09-30,52.2388125,61.27569077565096,323.7038948052,85.79542863521132,45.9201576698522,321.568576,10.016454895410261,44.9389693525905,80.097185223664,33.82013841382587,18.593351217409445,12.645646024763792,19.482711235450644,3.8175862677561243,51.6542785484048,26.54411386066135,12.034779180520173,68.8,15.64515159457773,14.890641894207738,38.7128709,20.444609351955542,11.13461735082303,55.910104408989,10.25,81.9542542,82.6446446281,236.75694551800993,3.5372663012765395,9.314072679136501,9.887564115012905,71.5534138,5.767872557725609,45.603716149274916,18.95298024283396,40.7,9.311930328443848,24.14604024300609,26.18427956210053,14.524999999999999,11.144444196656176,6.067572353147061,17.405163786839058,198.58573576016232,5719.28,10.017442023182344,,,,,
